Filename,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId
01103_00001.ppm,97,104,8,9,88,95,1
01103_00002.ppm,84,94,7,8,77,86,1
01114_00000.ppm,69,74,6,6,62,68,1
01114_00001.ppm,64,71,5,6,59,65,1
01114_00002.ppm,73,81,6,7,66,73,1
01278_00000.ppm,110,122,9,10,100,111,1
01278_00001.ppm,105,112,9,9,95,102,1
01278_00002.ppm,96,106,8,9,87,96,1
01556_00000.ppm,171,189,14,16,157,172,1
01556_00001.ppm,287,304,24,25,263,279,1
01556_00002.ppm,108,119,9,10,99,109,1
01584_00000.ppm,104,108,9,9,94,99,1
01584_00001.ppm,129,131,11,11,117,119,1
01584_00002.ppm,168,166,14,14,154,151,1
01585_00000.ppm,184,203,15,17,169,185,1
01585_00001.ppm,104,115,9,10,95,105,1
01585_00002.ppm,139,152,12,13,127,139,1
01590_00000.ppm,121,132,10,11,110,121,1
01590_00001.ppm,180,201,15,17,164,183,1
01590_00002.ppm,283,230,24,19,258,211,1
01651_00000.ppm,81,84,7,7,73,76,1
01651_00001.ppm,71,73,6,6,64,67,1
01651_00002.ppm,146,85,12,7,133,77,1
01662_00000.ppm,142,91,12,8,130,82,1
01662_00001.ppm,99,76,8,6,91,70,1
01662_00002.ppm,194,105,16,9,177,95,1
01681_00000.ppm,192,123,16,10,175,112,1
01681_00001.ppm,187,92,16,8,170,83,1
01681_00002.ppm,71,74,6,6,65,67,1
01699_00000.ppm,115,120,10,10,105,109,1
01699_00001.ppm,76,85,6,7,69,77,1
01699_00002.ppm,91,97,8,8,82,88,1
01850_00000.ppm,76,87,6,7,70,79,1
01850_00001.ppm,153,175,13,15,139,160,1
01850_00002.ppm,103,115,9,10,93,105,1
01854_00000.ppm,106,110,9,9,96,100,1
01854_00001.ppm,82,87,7,7,75,79,1
01854_00002.ppm,208,105,17,9,190,96,1
01971_00000.ppm,203,146,17,12,185,134,1
01971_00001.ppm,82,92,7,8,74,83,1
01971_00002.ppm,105,121,9,10,95,110,1
00270_00000.ppm,59,62,5,5,53,57,2
00270_00001.ppm,62,67,5,6,56,61,2
00270_00002.ppm,109,72,9,6,100,65,2
01320_00000.ppm,135,56,11,5,124,50,2
01503_00000.ppm,103,115,9,10,94,105,2
01503_00001.ppm,133,154,11,13,121,140,2
01503_00002.ppm,260,183,22,15,237,168,2
01515_00000.ppm,159,175,13,15,145,159,2
01515_00001.ppm,127,141,11,12,115,129,2
01515_00002.ppm,99,111,8,9,90,101,2
01722_00000.ppm,156,169,13,14,142,155,2
01722_00001.ppm,122,133,10,11,112,121,2
01722_00002.ppm,99,111,8,9,90,102,2
00207_00000.ppm,147,160,12,13,135,146,3
00207_00001.ppm,109,119,9,10,99,109,3
00207_00002.ppm,87,96,7,8,80,88,3
00211_00000.ppm,145,151,12,13,133,137,3
00211_00001.ppm,190,192,16,16,173,175,3
00211_00002.ppm,112,119,9,10,102,108,3
00259_00000.ppm,144,80,12,7,132,73,3
00259_00001.ppm,73,82,6,7,66,74,3
00259_00002.ppm,63,73,5,6,58,66,3
00391_00000.ppm,29,30,5,5,24,24,3
00391_00001.ppm,30,31,5,5,24,25,3
00391_00002.ppm,29,30,5,5,23,24,3
01291_00000.ppm,100,104,8,9,91,94,3
01291_00001.ppm,168,166,14,14,154,151,3
01291_00002.ppm,71,73,6,6,65,67,3
00145_00000.ppm,46,52,5,5,41,46,4
00145_00001.ppm,136,157,11,13,125,144,4
00145_00002.ppm,70,79,6,7,64,72,4
00214_00000.ppm,130,139,11,12,119,126,4
00214_00001.ppm,165,176,14,15,151,161,4
00214_00002.ppm,224,239,19,20,205,218,4
00282_00000.ppm,202,212,17,18,184,193,4
00282_00001.ppm,142,154,12,13,129,140,4
00282_00002.ppm,96,105,8,9,87,96,4
00623_00000.ppm,58,69,5,6,53,62,4
00623_00001.ppm,57,64,5,5,52,59,4
00623_00002.ppm,49,55,5,5,44,49,4
01312_00000.ppm,93,53,8,5,84,48,4
01312_00001.ppm,99,86,8,7,90,79,4
01312_00002.ppm,110,110,9,9,101,101,4
00261_00000.ppm,172,72,14,6,157,65,5
00261_00001.ppm,168,99,14,8,153,90,5
00390_00000.ppm,49,49,5,5,44,44,5
00390_00001.ppm,61,61,5,5,55,56,5
00390_00002.ppm,86,85,7,7,79,78,5
00575_00000.ppm,179,194,15,16,163,178,5
00575_00001.ppm,87,98,7,8,80,89,5
00575_00002.ppm,59,62,5,5,54,57,5
01893_00000.ppm,63,68,5,6,57,61,5
01893_00001.ppm,55,56,5,5,49,50,5
01893_00002.ppm,50,50,5,5,44,44,5
00147_00000.ppm,156,157,13,13,142,144,6
00147_00001.ppm,60,60,5,5,54,55,6
00147_00002.ppm,73,79,6,7,66,72,6
00215_00000.ppm,151,168,13,14,137,154,6
00215_00001.ppm,216,248,18,21,198,227,6
00215_00002.ppm,100,110,8,9,92,100,6
00220_00000.ppm,312,349,26,29,286,320,6
00220_00001.ppm,183,201,15,17,167,184,6
00220_00002.ppm,127,140,11,12,116,128,6
00221_00000.ppm,122,132,10,11,111,120,6
00221_00001.ppm,154,164,13,14,141,150,6
00221_00002.ppm,302,192,25,16,277,175,6
00326_00000.ppm,166,187,14,16,152,170,6
00326_00001.ppm,128,141,11,12,116,128,6
00326_00002.ppm,104,112,9,9,95,102,6
00327_00000.ppm,116,104,10,9,105,94,6
00327_00001.ppm,206,176,17,15,188,160,6
00327_00002.ppm,145,128,12,11,132,117,6
00014_00000.ppm,75,79,6,7,69,71,7
00014_00001.ppm,109,112,9,9,99,102,7
00014_00002.ppm,87,88,7,7,80,81,7
00051_00000.ppm,98,107,8,9,90,98,7
00051_00001.ppm,81,91,7,8,74,82,7
00051_00002.ppm,70,75,6,6,64,68,7
00057_00000.ppm,53,59,5,5,48,53,7
00057_00001.ppm,59,70,5,6,53,63,7
00057_00002.ppm,67,79,6,7,61,71,7
00068_00000.ppm,134,140,11,12,122,127,7
00068_00001.ppm,164,84,14,7,150,77,7
00068_00002.ppm,57,64,5,5,51,58,7
00132_00000.ppm,153,179,13,15,139,164,7
00132_00001.ppm,122,143,10,12,112,130,7
00132_00002.ppm,99,121,8,10,90,111,7
00259_00000_7.ppm,146,82,12,7,134,75,7
00259_00001_7.ppm,69,74,6,6,63,67,7
00259_00002_7.ppm,75,84,6,7,69,76,7
00295_00000.ppm,79,80,7,7,72,72,7
00295_00001.ppm,71,73,6,6,65,67,7
00299_00000.ppm,170,166,14,14,156,151,7
00299_00001.ppm,95,98,8,8,87,90,7
00299_00002.ppm,122,123,10,10,111,112,7
00305_00000.ppm,81,88,7,7,73,80,7
00305_00001.ppm,92,96,8,8,83,88,7
00305_00002.ppm,106,109,9,9,96,99,7
00614_00000.ppm,73,80,6,7,66,72,7
00614_00001.ppm,79,84,7,7,72,77,7
00614_00002.ppm,82,91,7,8,75,82,7
00618_00000.ppm,129,69,11,6,118,62,7
00618_00001.ppm,131,45,11,5,120,39,7
00618_00002.ppm,129,55,11,5,118,49,7
00689_00000.ppm,52,55,5,5,46,49,7
00689_00001.ppm,51,57,5,5,46,52,7
00689_00002.ppm,53,57,5,5,48,51,7
00689_00003.ppm,56,62,5,5,50,56,7
00719_00000.ppm,116,115,10,10,105,104,7
00719_00001.ppm,120,118,10,10,109,108,7
00719_00002.ppm,100,100,8,8,91,91,7
00736_00000.ppm,121,135,10,11,110,124,7
00736_00001.ppm,143,155,12,13,130,142,7
00736_00002.ppm,132,148,11,12,121,135,7
00748_00000.ppm,64,71,5,6,58,64,7
00748_00001.ppm,58,63,5,5,53,57,7
00769_00000.ppm,110,124,9,10,101,114,7
00769_00001.ppm,97,110,8,9,89,101,7
00769_00002.ppm,87,99,7,8,79,90,7
00770_00000.ppm,122,139,10,12,111,126,7
00770_00001.ppm,115,128,10,11,104,116,7
00770_00002.ppm,130,148,11,12,119,136,7
00781_00000.ppm,152,169,13,14,139,154,7
00781_00001.ppm,122,135,10,11,111,123,7
00781_00002.ppm,104,115,9,10,95,105,7
00987_00000.ppm,184,204,15,17,168,186,7
00987_00001.ppm,98,111,8,9,89,101,7
00987_00002.ppm,45,49,5,5,39,43,7
00992_00000.ppm,45,50,5,5,39,44,7
00992_00001.ppm,46,49,5,5,41,43,7
00992_00002.ppm,45,49,5,5,40,43,7
01017_00000.ppm,109,105,9,9,100,96,7
01017_00001.ppm,91,86,8,7,83,79,7
01017_00002.ppm,100,96,8,8,91,87,7
01061_00000.ppm,140,147,12,12,128,134,7
01061_00001.ppm,119,128,10,11,108,116,7
01061_00002.ppm,104,111,9,9,94,102,7
01061_00003.ppm,93,100,8,8,84,91,7
01062_00000.ppm,121,131,10,11,110,119,7
01062_00001.ppm,143,155,12,13,131,142,7
01062_00002.ppm,133,141,11,12,122,129,7
01077_00000.ppm,71,74,6,6,65,67,7
01077_00001.ppm,79,82,7,7,72,75,7
01077_00002.ppm,67,69,6,6,60,62,7
01080_00000.ppm,172,184,14,15,157,169,7
01080_00001.ppm,157,169,13,14,144,154,7
01080_00002.ppm,142,154,12,13,129,140,7
01081_00000.ppm,167,111,14,9,152,101,7
01081_00001.ppm,164,109,14,9,150,100,7
01081_00002.ppm,153,108,13,9,140,99,7
01138_00000.ppm,141,154,12,13,128,141,7
01138_00001.ppm,170,183,14,15,156,168,7
01138_00002.ppm,119,130,10,11,108,118,7
01139_00000.ppm,104,112,9,9,94,103,7
01139_00001.ppm,98,105,8,9,89,95,7
01139_00002.ppm,93,99,8,8,84,91,7
01152_00000.ppm,146,158,12,13,133,144,7
01152_00001.ppm,134,141,11,12,122,129,7
01152_00002.ppm,121,130,10,11,110,119,7
01159_00000.ppm,98,111,8,9,90,102,7
01159_00001.ppm,93,103,8,9,84,94,7
01159_00002.ppm,107,119,9,10,97,109,7
01186_00000.ppm,92,98,8,8,83,89,7
01186_00001.ppm,80,87,7,7,73,79,7
01186_00002.ppm,56,60,5,5,51,55,7
01189_00000.ppm,111,117,9,10,102,106,7
01189_00001.ppm,129,133,11,11,117,121,7
01189_00002.ppm,145,151,12,13,132,137,7
01195_00000.ppm,104,116,9,10,94,106,7
01195_00001.ppm,112,127,9,11,102,115,7
01195_00002.ppm,96,108,8,9,88,98,7
01339_00000.ppm,128,63,11,5,116,58,7
01339_00001.ppm,57,58,5,5,51,52,7
01339_00002.ppm,52,53,5,5,47,47,7
01388_00000.ppm,143,64,12,5,131,58,7
01388_00001.ppm,62,61,5,5,57,55,7
01388_00002.ppm,55,56,5,5,50,50,7
01393_00000.ppm,88,92,7,8,80,84,7
01393_00001.ppm,74,79,6,7,67,71,7
01393_00002.ppm,212,104,18,9,193,94,7
01397_00000.ppm,54,54,5,5,48,49,7
01397_00001.ppm,60,60,5,5,54,55,7
01397_00002.ppm,108,60,9,5,99,54,7
01406_00000.ppm,96,98,8,8,87,89,7
01406_00001.ppm,69,72,6,6,62,65,7
01406_00002.ppm,81,82,7,7,73,75,7
01423_00000.ppm,88,94,7,8,80,85,7
01423_00001.ppm,71,76,6,6,65,69,7
01426_00000.ppm,58,58,5,5,52,53,7
01426_00001.ppm,67,68,6,6,60,61,7
01426_00002.ppm,153,64,13,5,139,58,7
01433_00000.ppm,98,108,8,9,90,98,7
01433_00001.ppm,79,88,7,7,71,81,7
01433_00002.ppm,139,159,12,13,126,146,7
01485_00000.ppm,97,111,8,9,88,101,7
01485_00001.ppm,119,135,10,11,108,124,7
01485_00002.ppm,151,175,13,15,137,159,7
01531_00000.ppm,72,80,6,7,66,73,7
01531_00001.ppm,86,95,7,8,78,86,7
01531_00002.ppm,104,116,9,10,95,106,7
01537_00000.ppm,154,179,13,15,141,164,7
01537_00001.ppm,109,120,9,10,99,109,7
01537_00002.ppm,88,98,7,8,80,90,7
01598_00000.ppm,128,117,11,10,116,107,7
01598_00001.ppm,116,106,10,9,106,97,7
01598_00002.ppm,108,100,9,8,99,92,7
01605_00000.ppm,82,83,7,7,75,75,7
01605_00001.ppm,100,100,8,8,91,92,7
01605_00002.ppm,182,98,15,8,167,89,7
01653_00000.ppm,104,112,9,9,94,103,7
01653_00001.ppm,131,143,11,12,119,131,7
01653_00002.ppm,232,159,19,13,213,145,7
01700_00000.ppm,82,87,7,7,74,80,7
01700_00001.ppm,98,105,8,9,89,96,7
01782_00000.ppm,134,151,11,13,123,138,7
01782_00001.ppm,98,106,8,9,89,97,7
01782_00002.ppm,76,83,6,7,70,76,7
01794_00000.ppm,166,178,14,15,152,162,7
01794_00001.ppm,110,119,9,10,101,108,7
01794_00002.ppm,84,88,7,7,76,80,7
01801_00000.ppm,87,93,7,8,79,84,7
01801_00001.ppm,75,81,6,7,68,74,7
01801_00002.ppm,117,122,10,10,107,112,7
01880_00000.ppm,84,94,7,8,77,86,7
01880_00001.ppm,103,111,9,9,94,102,7
01880_00002.ppm,70,76,6,6,63,70,7
01888_00000.ppm,176,118,15,10,161,107,7
01888_00001.ppm,74,84,6,7,68,77,7
01888_00002.ppm,87,106,7,9,80,97,7
00046_00000.ppm,201,118,17,10,183,108,8
00046_00001.ppm,106,109,9,9,97,99,8
00046_00002.ppm,83,94,7,8,75,85,8
01016_00000.ppm,69,74,6,6,62,67,8
01016_00001.ppm,74,81,6,7,67,74,8
01016_00002.ppm,81,88,7,7,74,81,8
01020_00000.ppm,123,132,10,11,112,120,8
01020_00001.ppm,105,111,9,9,95,101,8
01020_00002.ppm,115,123,10,10,105,113,8
01520_00000.ppm,97,110,8,9,89,100,8
01520_00001.ppm,88,99,7,8,80,91,8
01520_00002.ppm,116,130,10,11,105,118,8
01521_00000.ppm,93,105,8,9,85,96,8
01521_00001.ppm,109,127,9,11,99,115,8
01521_00002.ppm,76,92,6,8,70,84,8
01530_00000.ppm,133,146,11,12,121,134,8
01530_00001.ppm,100,111,8,9,91,101,8
01530_00002.ppm,83,93,7,8,75,84,8
01578_00000.ppm,134,155,11,13,122,142,8
01578_00001.ppm,109,127,9,11,100,116,8
01578_00002.ppm,88,100,7,8,80,92,8
01663_00000.ppm,123,141,10,12,112,128,8
01663_00001.ppm,98,112,8,9,89,103,8
01663_00002.ppm,83,94,7,8,76,85,8
01873_00000.ppm,61,69,5,6,55,63,8
01873_00001.ppm,82,96,7,8,74,87,8
01873_00002.ppm,71,82,6,7,65,75,8
00141_00000.ppm,207,248,17,21,190,227,9
00141_00001.ppm,80,85,7,7,72,77,9
00141_00002.ppm,50,52,5,5,45,46,9
00223_00000.ppm,188,208,16,17,172,191,9
00223_00001.ppm,133,141,11,12,121,128,9
00223_00002.ppm,108,120,9,10,99,109,9
00224_00000.ppm,87,93,7,8,79,85,9
00224_00001.ppm,107,115,9,10,97,104,9
00224_00002.ppm,142,153,12,13,129,140,9
00285_00000.ppm,152,169,13,14,139,155,9
00285_00001.ppm,200,223,17,19,182,204,9
00285_00002.ppm,287,304,24,25,262,278,9
00286_00000.ppm,124,127,10,11,114,115,9
00286_00001.ppm,104,106,9,9,95,97,9
00286_00002.ppm,158,157,13,13,144,144,9
00410_00000.ppm,225,237,19,20,206,216,9
00410_00001.ppm,112,121,9,10,103,110,9
00410_00002.ppm,74,82,6,7,67,75,9
00240_00000.ppm,94,103,8,9,86,94,10
00240_00001.ppm,85,96,7,8,77,87,10
00240_00002.ppm,87,98,7,8,79,89,10
00249_00000.ppm,164,169,14,14,149,154,10
00249_00001.ppm,128,131,11,11,116,119,10
00249_00002.ppm,92,94,8,8,83,86,10
00254_00000.ppm,79,72,7,6,72,65,10
00254_00001.ppm,103,92,9,8,94,84,10
00254_00002.ppm,131,112,11,9,120,103,10
00262_00000.ppm,69,71,6,6,62,64,10
00262_00001.ppm,75,81,6,7,68,74,10
00262_00002.ppm,243,100,20,8,223,92,10
00263_00000.ppm,79,85,7,7,72,78,10
00263_00001.ppm,96,106,8,9,87,96,10
00263_00002.ppm,123,134,10,11,112,123,10
00289_00000.ppm,94,97,8,8,85,89,10
00289_00001.ppm,79,83,7,7,71,76,10
00289_00002.ppm,71,75,6,6,64,68,10
01903_00000.ppm,88,76,7,6,81,70,10
01903_00001.ppm,118,98,10,8,108,89,10
01903_00002.ppm,159,131,13,11,146,119,10
00271_00000.ppm,152,112,13,9,139,102,11
00271_00001.ppm,151,92,13,8,137,84,11
00271_00002.ppm,57,63,5,5,52,58,11
00271_00003.ppm,63,72,5,6,57,66,11
01507_00000.ppm,178,200,15,17,162,182,11
01507_00001.ppm,105,112,9,9,96,102,11
01507_00002.ppm,135,148,11,12,123,135,11
01473_00000.ppm,320,340,27,28,293,312,12
01473_00001.ppm,214,231,18,19,195,211,12
01473_00002.ppm,142,159,12,13,130,145,12
01564_00000.ppm,247,256,21,21,225,234,12
01564_00001.ppm,160,172,13,14,146,158,12
01564_00002.ppm,103,110,9,9,93,101,12
01565_00000.ppm,147,168,12,14,135,153,12
01565_00001.ppm,120,130,10,11,109,119,12
01565_00002.ppm,98,104,8,9,90,95,12
01609_00000.ppm,172,178,14,15,157,162,12
01609_00001.ppm,128,133,11,11,117,122,12
01609_00002.ppm,103,108,9,9,93,99,12
01652_00000.ppm,100,105,8,9,91,95,12
01652_00001.ppm,129,129,11,11,117,117,12
01652_00002.ppm,163,164,14,14,148,150,12
01734_00000.ppm,176,191,15,16,161,174,12
01734_00001.ppm,98,107,8,9,89,98,12
01734_00002.ppm,120,131,10,11,110,119,12
00138_00000.ppm,154,163,13,14,141,148,13
00138_00001.ppm,68,74,6,6,61,68,13
00138_00002.ppm,47,50,5,5,42,44,13
00178_00000.ppm,189,183,16,15,173,168,13
00178_00001.ppm,133,130,11,11,122,119,13
00178_00002.ppm,100,104,8,9,92,94,13
00184_00000.ppm,196,206,16,17,179,189,13
00184_00001.ppm,145,154,12,13,133,140,13
00184_00002.ppm,115,120,10,10,104,109,13
00196_00000.ppm,208,134,17,11,191,123,13
00196_00001.ppm,108,117,9,10,98,107,13
00196_00002.ppm,86,95,7,8,79,87,13
00197_00000.ppm,166,182,14,15,151,167,13
00197_00001.ppm,129,141,11,12,118,129,13
00197_00002.ppm,103,112,9,9,94,103,13
00202_00000.ppm,80,76,7,6,73,70,13
00202_00001.ppm,97,96,8,8,88,87,13
00202_00002.ppm,158,178,13,15,145,162,13
00235_00000.ppm,217,223,18,19,198,203,13
00235_00001.ppm,145,154,12,13,133,141,13
00235_00002.ppm,110,118,9,10,100,108,13
00248_00000.ppm,83,91,7,8,76,83,13
00248_00001.ppm,116,124,10,10,106,113,13
00248_00002.ppm,136,144,11,12,125,131,13
00257_00000.ppm,121,121,10,10,111,110,13
00257_00001.ppm,164,156,14,13,149,143,13
00257_00002.ppm,279,158,23,13,256,145,13
00307_00000.ppm,307,241,26,20,280,220,13
00307_00001.ppm,81,88,7,7,73,81,13
00307_00002.ppm,120,132,10,11,110,120,13
00433_00000.ppm,73,70,6,6,67,63,13
00433_00001.ppm,74,73,6,6,67,67,13
00433_00002.ppm,74,68,6,6,68,61,13
00572_00000.ppm,74,81,6,7,67,74,13
00572_00001.ppm,167,176,14,15,152,160,13
00572_00002.ppm,105,110,9,9,95,101,13
00866_00000.ppm,88,92,7,8,80,83,13
00866_00001.ppm,83,83,7,7,76,76,13
00866_00002.ppm,93,91,8,8,84,83,13
00869_00000.ppm,88,85,7,7,81,77,13
00869_00001.ppm,69,68,6,6,63,61,13
00869_00002.ppm,81,76,7,6,74,70,13
00880_00000.ppm,121,119,10,10,110,109,13
00880_00001.ppm,120,116,10,10,110,106,13
00880_00002.ppm,123,121,10,10,112,110,13
00884_00000.ppm,79,72,7,6,71,65,13
00884_00001.ppm,84,79,7,7,77,71,13
00884_00002.ppm,98,94,8,8,89,85,13
00919_00000.ppm,71,69,6,6,65,63,13
00919_00001.ppm,87,83,7,7,80,75,13
00919_00002.ppm,79,74,7,6,72,67,13
00961_00000.ppm,312,159,26,13,286,145,13
00961_00001.ppm,314,122,26,10,288,112,13
00961_00002.ppm,319,75,27,6,292,69,13
01447_00000.ppm,81,84,7,7,74,77,13
01447_00001.ppm,98,99,8,8,90,91,13
01447_00002.ppm,118,121,10,10,107,110,13
01450_00000.ppm,73,75,6,6,66,69,13
01450_00001.ppm,69,68,6,6,63,61,13
01450_00002.ppm,71,70,6,6,64,64,13
01452_00000.ppm,272,128,23,11,248,116,13
01452_00001.ppm,106,107,9,9,96,98,13
01452_00002.ppm,129,134,11,11,117,122,13
01466_00000.ppm,120,121,10,10,110,110,13
01466_00001.ppm,163,157,14,13,149,144,13
01466_00002.ppm,325,148,27,12,297,135,13
01471_00000.ppm,133,151,11,13,121,138,13
01471_00001.ppm,104,118,9,10,94,108,13
01471_00002.ppm,85,96,7,8,77,87,13
01549_00000.ppm,187,181,16,15,171,165,13
01549_00001.ppm,136,135,11,11,124,124,13
01549_00002.ppm,109,111,9,9,99,101,13
01574_00000.ppm,141,164,12,14,129,150,13
01574_00001.ppm,85,98,7,8,77,90,13
01574_00002.ppm,105,118,9,10,95,108,13
01575_00000.ppm,71,75,6,6,64,69,13
01575_00001.ppm,82,85,7,7,74,78,13
01575_00002.ppm,97,100,8,8,89,92,13
01576_00000.ppm,96,106,8,9,87,96,13
01576_00001.ppm,120,129,10,11,109,118,13
01576_00002.ppm,182,196,15,16,167,180,13
01580_00000.ppm,94,98,8,8,85,89,13
01580_00001.ppm,188,191,16,16,171,174,13
01580_00002.ppm,133,136,11,11,121,125,13
01682_00000.ppm,109,123,9,10,100,112,13
01682_00001.ppm,159,177,13,15,146,161,13
01682_00002.ppm,235,260,20,22,214,237,13
01704_00000.ppm,200,158,17,13,182,144,13
01704_00001.ppm,260,202,22,17,237,185,13
01704_00002.ppm,379,332,32,28,346,303,13
00208_00000.ppm,322,347,27,29,294,318,14
00208_00001.ppm,159,169,13,14,145,154,14
00208_00002.ppm,121,128,10,11,111,117,14
00379_00000.ppm,156,144,13,12,142,131,14
00379_00001.ppm,83,83,7,7,75,75,14
00379_00002.ppm,58,60,5,5,53,55,14
00406_00000.ppm,97,61,8,5,89,55,14
00406_00001.ppm,91,57,8,5,83,51,14
00406_00002.ppm,108,68,9,6,99,61,14
00408_00000.ppm,128,141,11,12,116,129,14
00408_00001.ppm,123,135,10,11,112,124,14
00408_00002.ppm,121,129,10,11,110,118,14
00448_00000.ppm,62,64,5,5,57,58,14
00448_00001.ppm,87,88,7,7,79,81,14
00448_00002.ppm,131,147,11,12,119,134,14
00859_00000.ppm,57,57,5,5,51,51,14
00859_00001.ppm,57,57,5,5,51,52,14
00859_00002.ppm,57,58,5,5,51,53,14
00899_00000.ppm,104,111,9,9,95,102,14
00899_00001.ppm,110,120,9,10,101,110,14
00899_00002.ppm,119,129,10,11,109,117,14
00911_00000.ppm,64,55,5,5,59,49,14
00911_00001.ppm,68,55,6,5,62,49,14
00911_00002.ppm,68,57,6,5,61,52,14
01135_00000.ppm,52,55,5,5,47,49,14
01135_00001.ppm,55,55,5,5,49,50,14
01135_00002.ppm,54,55,5,5,49,50,14
01490_00000.ppm,64,52,5,5,58,47,14
01490_00001.ppm,54,43,5,5,48,37,14
01544_00000.ppm,75,43,6,5,69,37,14
01544_00001.ppm,64,63,5,5,58,57,14
01544_00002.ppm,52,52,5,5,46,47,14
01558_00000.ppm,103,99,9,8,93,90,14
01558_00001.ppm,130,122,11,10,118,111,14
01558_00002.ppm,84,85,7,7,76,77,14
01780_00000.ppm,81,91,7,8,74,82,14
01780_00001.ppm,64,71,5,6,59,64,14
01780_00002.ppm,110,119,9,10,100,109,14
01925_00000.ppm,215,231,18,19,197,211,14
01925_00001.ppm,129,143,11,12,117,130,14
01926_00000.ppm,87,97,7,8,80,89,14
01926_00001.ppm,119,133,10,11,109,122,14
01926_00002.ppm,195,216,16,18,178,198,14
00331_00000.ppm,199,206,17,17,181,189,15
